manufacturer,transmission_type,fuel,engine_size_cm3,power_ps,co2_emissions_gPERkm
ALPINE,Automatic,Petrol,1798,292,157
ALPINE,Automatic,Petrol,1798,292,157
ALPINE,Automatic,Petrol,1798,251,153
ALPINE,Automatic,Petrol,1798,251,154
ALPINE,Automatic,Petrol,1798,251,153
ALPINE,Automatic,Petrol,1798,251,153
ALPINE,Automatic,Petrol,1798,251,152
ALPINE,Automatic,Petrol,1798,251,153
ALPINE,Automatic,Petrol,1798,300,154
ALPINE,Automatic,Petrol,1798,300,155
ALPINE,Automatic,Petrol,1798,292,163
ALPINE,Automatic,Petrol,1798,292,168
ALPINE,Automatic,Petrol,1799,292,163
ALPINE,Automatic,Petrol,1799,292,163
ALPINE,Automatic,Petrol,1798,251,156
ALPINE,Automatic,Petrol,1798,251,156
ALPINE,Automatic,Petrol,1798,251,162
ALPINE,Automatic,Petrol,1798,251,162
ALPINE,Automatic,Petrol,1798,251,162
ALPINE,Automatic,Petrol,1798,251,166
ALPINE,Automatic,Petrol,1798,251,156
ALPINE,Automatic,Petrol,1798,251,152
ALPINE,Automatic,Petrol,1798,251,154
ASTON MARTIN LAGONDA,Automatic,Petrol,3982,510,254
ASTON MARTIN LAGONDA,Automatic,Petrol,3982,510,257
ASTON MARTIN LAGONDA,Automatic,Petrol,5204,640,303
ASTON MARTIN LAGONDA,Automatic,Petrol,5204,630,303
ASTON MARTIN LAGONDA,Automatic,Petrol,3982,503,244
ASTON MARTIN LAGONDA,Automatic,Petrol,3982,503,263
ASTON MARTIN LAGONDA,Automatic,Petrol,5204,715,306
ASTON MARTIN LAGONDA,Automatic,Petrol,5204,725,306
ASTON MARTIN LAGONDA,Automatic,Petrol,5204,725,306
ASTON MARTIN LAGONDA,Automatic,Petrol,5204,715,306
ASTON MARTIN LAGONDA,Automatic,Petrol,3982,550,323
ASTON MARTIN LAGONDA,Automatic,Petrol,5935,592,313
ASTON MARTIN LAGONDA,Automatic,Petrol,5204,725,298
ASTON MARTIN LAGONDA,Automatic,Petrol,5935,592,301
ASTON MARTIN LAGONDA,Automatic,Petrol,3982,503,263
ASTON MARTIN LAGONDA,Manual,Petrol,3982,503,249
ASTON MARTIN LAGONDA,Automatic,Petrol,3982,503,263
ASTON MARTIN LAGONDA,Automatic,Petrol,3982,535,264
ASTON MARTIN LAGONDA,Automatic,Petrol,3982,535,263
ASTON MARTIN LAGONDA,Automatic,Petrol,3982,510,264
ASTON MARTIN LAGONDA,Manual,Petrol,3982,510,276
ASTON MARTIN LAGONDA,Automatic,Petrol,3982,510,263
BENTLEY MOTORS,Automatic,Petrol,3996,550,302
BENTLEY MOTORS,Automatic,Petrol,3996,550,294
BENTLEY MOTORS,Automatic,Petrol,5950,635,308
BENTLEY MOTORS,Automatic,Petrol,5950,635,336
BENTLEY MOTORS,Automatic,Petrol,5950,659,311
BENTLEY MOTORS,Automatic,Petrol,5950,659,320
BENTLEY MOTORS,Automatic,Petrol,3996,550,281
BENTLEY MOTORS,Automatic,Petrol,3996,550,284
BENTLEY MOTORS,Automatic,Petrol,3996,550,278
BENTLEY MOTORS,Automatic,Petrol,3996,550,275
BENTLEY MOTORS,Automatic,Petrol,3996,550,284
BENTLEY MOTORS,Automatic,Petrol,3996,550,275
BENTLEY MOTORS,Automatic,Petrol,3996,550,288
BENTLEY MOTORS,Automatic,Petrol,5950,635,337
BENTLEY MOTORS,Automatic,Petrol,5950,635,340
BENTLEY MOTORS,Automatic,Petrol,5950,635,340
BENTLEY MOTORS,Automatic,Petrol,3996,550,288
CADILLAC,Automatic,Petrol,1998,230,213
CHEVROLET,Automatic,Petrol,6162,482,277
CHEVROLET,Automatic,Petrol,6162,482,277
CHRYSLER JEEP,Manual,Petrol,1386,140,179
CHRYSLER JEEP,Manual,Petrol,1386,140,169
CHRYSLER JEEP,Manual,Petrol,1386,140,170
CHRYSLER JEEP,Manual,Petrol,1386,140,179
CHRYSLER JEEP,Automatic,Petrol,1386,170,206
CHRYSLER JEEP,Automatic,Petrol,1386,170,215
CHRYSLER JEEP,Automatic,Petrol,1386,170,197
CHRYSLER JEEP,Automatic,Petrol,1386,170,221
CHRYSLER JEEP,Manual,Petrol,1386,140,169
CHRYSLER JEEP,Manual,Petrol,1386,140,179
CHRYSLER JEEP,Manual,Petrol,1386,140,179
CHRYSLER JEEP,Manual,Petrol,1386,140,170
CHRYSLER JEEP,Automatic,Petrol,1386,170,206
CHRYSLER JEEP,Automatic,Petrol,1386,170,215
CHRYSLER JEEP,Manual,Petrol,1386,140,169
CHRYSLER JEEP,Manual,Petrol,1386,140,170
CHRYSLER JEEP,Manual,Petrol,1386,140,179
CHRYSLER JEEP,Manual,Petrol,1386,103,169
CHRYSLER JEEP,Manual,Petrol,1386,103,179
CHRYSLER JEEP,Automatic,Petrol,1386,125,206
CHRYSLER JEEP,Automatic,Petrol,1386,125,215
CHRYSLER JEEP,Automatic,Petrol,1332,152,158
CHRYSLER JEEP,Automatic,Petrol,1332,152,170
CHRYSLER JEEP,Manual,Petrol,999,120,155
CHRYSLER JEEP,Manual,Petrol,999,120,166
CHRYSLER JEEP,Automatic,Petrol,1332,151,158
CHRYSLER JEEP,Automatic,Petrol,1332,151,170
CHRYSLER JEEP,Automatic,Petrol,1332,151,170
CHRYSLER JEEP,Automatic,Petrol,1332,151,158
CHRYSLER JEEP,Automatic,Petrol,1332,182,204
CHRYSLER JEEP,Automatic,Petrol,1332,182,184
CHRYSLER JEEP,Manual,Petrol,999,120,147
CHRYSLER JEEP,Manual,Petrol,999,120,160
CHRYSLER JEEP,Automatic,Petrol,1332,111,162
CHRYSLER JEEP,Automatic,Petrol,1332,111,150
CHRYSLER JEEP,Manual,Petrol,999,88,147
CHRYSLER JEEP,Manual,Petrol,999,88,160
CHRYSLER JEEP,Automatic,Petrol,1332,111,150
CHRYSLER JEEP,Automatic,Petrol,1332,111,162
CHRYSLER JEEP,Manual,Petrol,999,120,147
CHRYSLER JEEP,Automatic,Petrol,999,120,160
CHRYSLER JEEP,Automatic,Petrol,1332,111,150
CHRYSLER JEEP,Automatic,Petrol,1332,111,162
CHRYSLER JEEP,Manual,Petrol,999,88,147
CHRYSLER JEEP,Manual,Petrol,999,88,160
CHRYSLER JEEP,Automatic,Petrol,1332,111,162
CHRYSLER JEEP,Automatic,Petrol,1332,111,150
CHRYSLER JEEP,Automatic,Petrol,1995,272,233
CHRYSLER JEEP,Automatic,Petrol,1995,272,250
CHRYSLER JEEP,Automatic,Petrol,1995,272,233
CHRYSLER JEEP,Automatic,Petrol,1995,272,250
CHRYSLER JEEP,Automatic,Petrol,1995,272,257
CHRYSLER JEEP,Automatic,Petrol,1995,272,278
CHRYSLER JEEP,Automatic,Petrol,1995,272,278
CHRYSLER JEEP,Automatic,Petrol,1995,272,257
CHRYSLER JEEP,Automatic,Petrol,1995,272,233
CHRYSLER JEEP,Automatic,Petrol,1995,272,250
CHRYSLER JEEP,Automatic,Petrol,1995,272,250
CHRYSLER JEEP,Automatic,Petrol,1995,272,233
CHRYSLER JEEP,Automatic,Petrol,1995,272,233
CHRYSLER JEEP,Automatic,Petrol,1995,272,250
CHRYSLER JEEP,Automatic,Petrol,1995,272,250
CHRYSLER JEEP,Automatic,Petrol,1995,272,233
CITROEN,Manual,Petrol,1199,110,140
CITROEN,Manual,Petrol,1199,110,167
CITROEN,Automatic,Petrol,1199,131,146
CITROEN,Automatic,Petrol,1199,131,173
CITROEN,Manual,Petrol,998,72,109
CITROEN,Manual,Petrol,998,72,117
CITROEN,Manual,Petrol,1199,110,124
CITROEN,Manual,Petrol,1199,110,154
CITROEN,Automatic,Petrol,1199,131,135
CITROEN,Automatic,Petrol,1199,131,158
CITROEN,Manual,Petrol,1199,110,124
CITROEN,Manual,Petrol,1199,110,154
CITROEN,Automatic,Petrol,1199,131,135
CITROEN,Automatic,Petrol,1199,131,158
CITROEN,Manual,Petrol,1199,131,144
CITROEN,Manual,Petrol,1199,131,136
CITROEN,Manual,Petrol,1199,131,164
CITROEN,Manual,Petrol,1199,131,162
CITROEN,Automatic,Petrol,1199,131,139
CITROEN,Automatic,Petrol,1199,131,165
CITROEN,Automatic,Petrol,1598,181,161
CITROEN,Automatic,Petrol,1598,181,181
CITROEN,Manual,Petrol,1199,131,133
CITROEN,Manual,Petrol,1199,131,153
CITROEN,Automatic,Petrol,1199,131,142
CITROEN,Automatic,Petrol,1199,131,172
CITROEN,Manual,Petrol,1199,110,120
CITROEN,Manual,Petrol,1199,110,133
CITROEN,Automatic,Petrol,1199,110,126
CITROEN,Automatic,Petrol,1199,110,141
CITROEN,Manual,Petrol,1199,83,118
CITROEN,Manual,Petrol,1199,83,132
CITROEN,Manual,Petrol,1199,131,117
CITROEN,Manual,Petrol,1199,131,135
CITROEN,Manual,Petrol,1199,131,117
CITROEN,Manual,Petrol,1199,131,130
CITROEN,Automatic,Petrol,1199,131,127
CITROEN,Automatic,Petrol,1199,131,143
CITROEN,Automatic,Petrol,1199,131,127
CITROEN,Automatic,Petrol,1199,131,139
DACIA,Manual,Petrol,998,73,141
DACIA,Manual,Petrol,998,73,141
DACIA,Manual,Petrol,998,73,142
DACIA,Manual,Petrol,998,73,144
DACIA,Manual,Petrol,898,89,142
DACIA,Manual,Petrol,898,89,144
DACIA,Manual,Petrol,898,89,146
DACIA,Manual,Petrol,898,89,147
DACIA,Manual,Petrol,998,73,142
DACIA,Manual,Petrol,998,73,143
DACIA,Manual,Petrol,898,89,142
DACIA,Manual,Petrol,898,89,143
DACIA,Manual,Petrol,898,89,146
DACIA,Manual,Petrol,898,89,147
DACIA,Manual,Petrol,998,73,136
DACIA,Manual,Petrol,998,73,136
DACIA,Manual,Petrol,998,73,138
DACIA,Manual,Petrol,998,73,139
DACIA,Manual,Petrol,898,89,140
DACIA,Manual,Petrol,898,89,141
DACIA,Manual,Petrol,898,89,145
DACIA,Manual,Petrol,898,89,146
DACIA,Manual,Petrol,998,73,137
DACIA,Manual,Petrol,998,73,138
DACIA,Manual,Petrol,898,89,139
DACIA,Manual,Petrol,898,89,140
DACIA,Manual,Petrol,898,89,145
DACIA,Manual,Petrol,898,89,146
DACIA,Manual,Petrol,998,73,129
DACIA,Manual,Petrol,998,73,130
DACIA,Manual,Petrol,998,73,131
DACIA,Manual,Petrol,998,73,131
DACIA,Manual,Petrol,898,89,134
DACIA,Manual,Petrol,898,89,136
DACIA,Manual,Petrol,898,89,139
DACIA,Manual,Petrol,898,89,139
DACIA,Manual,Petrol,998,73,130
DACIA,Manual,Petrol,998,73,131
DACIA,Manual,Petrol,898,89,134
DACIA,Manual,Petrol,898,89,135
DACIA,Manual,Petrol,898,89,139
DACIA,Manual,Petrol,898,89,139
DACIA,Manual,Petrol,999,66,120
DACIA,Manual,Petrol,999,66,121
DACIA,Manual,Petrol,999,66,121
DACIA,Manual,Petrol,999,66,121
DACIA,Manual,Petrol,999,91,120
DACIA,Manual,Petrol,999,91,120
DACIA,Manual,Petrol,999,91,127
DACIA,Manual,Petrol,999,91,128
DACIA,Automatic,Petrol,999,91,131
DACIA,Automatic,Petrol,999,91,132
DACIA,Automatic,Petrol,999,91,140
DACIA,Automatic,Petrol,999,91,141
DACIA,Manual,Petrol,999,66,120
DACIA,Manual,Petrol,999,66,121
DACIA,Manual,Petrol,999,91,120
DACIA,Manual,Petrol,999,91,120
DACIA,Manual,Petrol,999,91,127
DACIA,Manual,Petrol,999,91,128
DACIA,Manual,Petrol,999,91,127
DACIA,Manual,Petrol,999,91,127
DACIA,Automatic,Petrol,999,91,139
DACIA,Automatic,Petrol,999,91,140
DACIA,Manual,Petrol,999,91,120
DACIA,Manual,Petrol,999,91,120
DACIA,Manual,Petrol,999,91,127
DACIA,Manual,Petrol,999,91,128
DACIA,Automatic,Petrol,999,91,131
DACIA,Automatic,Petrol,999,91,132
DACIA,Manual,Petrol,1598,114,178
DACIA,Manual,Petrol,1598,114,179
DACIA,Manual,Petrol,1598,114,176
DACIA,Manual,Petrol,1598,114,177
DACIA,Manual,Petrol,1598,114,188
DACIA,Manual,Petrol,1598,114,189
DACIA,Manual,Petrol,1598,114,176
DACIA,Manual,Petrol,1598,114,176
DACIA,Manual,Petrol,1598,114,188
DACIA,Manual,Petrol,1598,114,189
DACIA,Manual,Petrol,1332,130,141
DACIA,Manual,Petrol,1332,130,141
DACIA,Automatic,Petrol,1332,149,141
DACIA,Automatic,Petrol,1332,149,141
DACIA,Manual,Petrol,1598,114,189
DACIA,Manual,Petrol,999,100,149
DACIA,Manual,Petrol,999,100,150
DACIA,Manual,Petrol,1330,130,160
DACIA,Manual,Petrol,1330,130,161
DACIA,Manual,Petrol,1598,114,176
DACIA,Manual,Petrol,1598,114,176
DACIA,Manual,Petrol,1598,114,188
DACIA,Manual,Petrol,1598,114,189
DACIA,Manual,Petrol,1598,114,178
DACIA,Manual,Petrol,1598,114,179
DACIA,Manual,Petrol,1598,114,190
DACIA,Manual,Petrol,1598,114,190
DACIA,Manual,Petrol,1598,114,178
DACIA,Manual,Petrol,1598,114,179
DACIA,Manual,Petrol,999,100,147
DACIA,Manual,Petrol,999,100,148
DACIA,Manual,Petrol,1598,114,176
DACIA,Manual,Petrol,1598,114,177
DACIA,Manual,Petrol,1598,114,188
DACIA,Manual,Petrol,999,100,149
DACIA,Manual,Petrol,999,100,150
DACIA,Manual,Petrol,1598,114,178
DACIA,Manual,Petrol,1598,114,179
DACIA,Manual,Petrol,1598,114,190
DACIA,Manual,Petrol,1598,114,190
DACIA,Manual,Petrol,1333,130,162
DACIA,Manual,Petrol,1333,130,163
DACIA,Manual,Petrol,1333,149,162
DACIA,Manual,Petrol,1333,149,163
DACIA,Manual,Petrol,1333,149,172
DACIA,Manual,Petrol,1333,149,173
DACIA,Manual,Petrol,1333,130,162
DACIA,Manual,Petrol,1333,130,163
DACIA,Manual,Petrol,1333,149,162
DACIA,Manual,Petrol,1333,149,163
DACIA,Manual,Petrol,1333,149,172
DACIA,Manual,Petrol,1333,149,173
DACIA,Manual,Petrol,999,100,138
DACIA,Manual,Petrol,999,100,139
DACIA,Manual,Petrol,999,100,140
DACIA,Manual,Petrol,999,100,141
DACIA,Manual,Petrol,1330,130,149
DACIA,Manual,Petrol,1330,130,149
DACIA,Manual,Petrol,999,100,141
DACIA,Manual,Petrol,999,100,141
DACIA,Manual,Petrol,1333,130,152
DACIA,Manual,Petrol,1333,130,153
DACIA,Manual,Petrol,1333,149,152
DACIA,Manual,Petrol,1333,149,153
DACIA,Manual,Petrol,1333,149,162
DACIA,Manual,Petrol,1333,149,164
DACIA,Manual,Petrol,1333,130,152
DACIA,Manual,Petrol,1333,130,153
DACIA,Manual,Petrol,1333,130,149
DACIA,Manual,Petrol,1333,130,150
DACIA,Manual,Petrol,1333,149,149
DACIA,Manual,Petrol,1333,149,150
DACIA,Manual,Petrol,1333,130,149
DACIA,Manual,Petrol,1333,130,150
DACIA,Manual,Petrol,999,91,139
DACIA,Manual,Petrol,999,91,139
DACIA,Manual,Petrol,1333,130,141
DACIA,Manual,Petrol,1333,130,141
DACIA,Manual,Petrol,999,91,141
DACIA,Manual,Petrol,999,91,141
DACIA,Manual,Petrol,999,91,141
DACIA,Manual,Petrol,999,91,142
DACIA,Manual,Petrol,1333,130,145
DACIA,Manual,Petrol,1333,130,146
DACIA,Manual,Petrol,1333,149,147
DACIA,Manual,Petrol,1333,149,147
DACIA,Manual,Petrol,999,91,141
DACIA,Manual,Petrol,999,91,142
DACIA,Manual,Petrol,1333,130,142
DACIA,Manual,Petrol,1333,130,142
DACIA,Manual,Petrol,1333,149,143
DACIA,Manual,Petrol,1333,149,143
DACIA,Manual,Petrol,1333,130,141
DACIA,Manual,Petrol,1333,130,141
DACIA,Automatic,Petrol,1330,149,142
DACIA,Automatic,Petrol,1330,149,142
DACIA,Manual,Petrol,999,91,140
DACIA,Manual,Petrol,999,91,141
DACIA,Manual,Petrol,999,91,140
DACIA,Manual,Petrol,999,91,141
DACIA,Manual,Petrol,1333,130,141
DACIA,Manual,Petrol,1333,130,141
DACIA,Automatic,Petrol,1333,149,142
DACIA,Automatic,Petrol,1333,149,142
DACIA,Manual,Petrol,999,91,140
DACIA,Manual,Petrol,999,91,141
DACIA,Manual,Petrol,1333,130,141
DACIA,Manual,Petrol,1333,130,141
DACIA,Manual,Petrol,999,91,140
DACIA,Manual,Petrol,999,91,140
DACIA,Manual,Petrol,999,110,131
DACIA,Manual,Petrol,999,110,131
DACIA,Manual,Petrol,999,110,130
DACIA,Manual,Petrol,999,110,131
DACIA,Manual,Petrol,998,73,140
DACIA,Manual,Petrol,998,73,141
DACIA,Manual,Petrol,998,73,142
DACIA,Manual,Petrol,998,73,148
DACIA,Manual,Petrol,898,89,142
DACIA,Manual,Petrol,898,89,148
DACIA,Manual,Petrol,898,89,149
DACIA,Manual,Petrol,898,89,150
DACIA,Manual,Petrol,998,73,142
DACIA,Manual,Petrol,998,73,150
DACIA,Manual,Petrol,998,73,144
DACIA,Manual,Petrol,998,73,144
DACIA,Manual,Petrol,898,89,141
DACIA,Manual,Petrol,898,89,142
DACIA,Manual,Petrol,898,89,149
DACIA,Manual,Petrol,898,89,150
DACIA,Manual,Petrol,898,89,150
DACIA,Manual,Petrol,898,89,150
DACIA,Manual,Petrol,998,73,136
DACIA,Manual,Petrol,998,73,136
DACIA,Manual,Petrol,998,73,137
DACIA,Manual,Petrol,998,73,143
DACIA,Manual,Petrol,898,89,139
DACIA,Manual,Petrol,898,89,145
DACIA,Manual,Petrol,898,89,148
DACIA,Manual,Petrol,898,89,149
DACIA,Manual,Petrol,998,73,137
DACIA,Manual,Petrol,998,73,138
DACIA,Manual,Petrol,998,73,139
DACIA,Manual,Petrol,998,73,140
DACIA,Manual,Petrol,898,89,138
DACIA,Manual,Petrol,898,89,139
DACIA,Manual,Petrol,898,89,148
DACIA,Manual,Petrol,898,89,148
DACIA,Manual,Petrol,898,89,148
DACIA,Manual,Petrol,898,89,149
DACIA,Manual,Petrol,998,73,129
DACIA,Manual,Petrol,998,73,130
DACIA,Manual,Petrol,998,73,131
DACIA,Manual,Petrol,998,73,132
DACIA,Manual,Petrol,898,89,134
DACIA,Manual,Petrol,898,89,135
DACIA,Manual,Petrol,898,89,141
DACIA,Manual,Petrol,898,89,142
DACIA,Manual,Petrol,998,73,130
DACIA,Manual,Petrol,998,73,131
DACIA,Manual,Petrol,998,73,137
DACIA,Manual,Petrol,998,73,137
DACIA,Manual,Petrol,898,89,134
DACIA,Manual,Petrol,898,89,134
DACIA,Manual,Petrol,898,89,141
DACIA,Manual,Petrol,898,89,141
DACIA,Manual,Petrol,898,89,141
DACIA,Manual,Petrol,898,89,142
DS,Manual,Petrol,1199,101,120
DS,Manual,Petrol,1199,101,141
DS,Automatic,Petrol,1199,131,132
DS,Automatic,Petrol,1199,131,148
DS,Automatic,Petrol,1199,155,137
DS,Automatic,Petrol,1199,155,153
DS,Automatic,Petrol,1199,131,132
DS,Automatic,Petrol,1199,131,154
DS,Automatic,Petrol,1598,181,145
DS,Automatic,Petrol,1598,181,167
DS,Automatic,Petrol,1598,224,146
DS,Automatic,Petrol,1598,224,168
DS,Automatic,Petrol,1199,131,141
DS,Automatic,Petrol,1199,131,163
DS,Automatic,Petrol,1598,181,148
DS,Automatic,Petrol,1598,181,170
DS,Automatic,Petrol,1598,224,150
DS,Automatic,Petrol,1598,224,171
FERRARI,Automatic,Petrol,3902,710,282
FERRARI,Automatic,Petrol,3902,710,289
FERRARI,Automatic,Petrol,3902,710,292
FERRARI,Automatic,Petrol,3902,710,296
FERRARI,Automatic,Petrol,3855,602,294
FERRARI,Automatic,Petrol,6252,680,366
FERRARI,Automatic,Petrol,6449,785,366
FERRARI,Automatic,Petrol,6449,785,373
FERRARI,Automatic,Petrol,6449,793,366
FERRARI,Automatic,Petrol,6449,793,366
FERRARI,Automatic,Petrol,3855,620,255
FERRARI,Automatic,Petrol,3855,600,267
FIAT,Manual,Petrol,1242,69,139
FIAT,Manual,Petrol,1242,69,129
FIAT,Manual,Petrol,1242,69,129
FIAT,Manual,Petrol,1242,69,139
FIAT,Manual,Petrol,875,86,133
FIAT,Manual,Petrol,875,86,122
FIAT,Manual,Petrol,1242,86,133
FIAT,Manual,Petrol,1242,86,122
FIAT,Automatic,Petrol,1242,69,145
FIAT,Automatic,Petrol,1242,69,134
FIAT,Manual,Petrol,1242,69,137
FIAT,Manual,Petrol,1242,69,148
FIAT,Automatic,Petrol,1242,69,136
FIAT,Automatic,Petrol,1242,69,144
FIAT,Manual,Petrol,1242,69,140
FIAT,Manual,Petrol,1242,69,148
FIAT,Manual,Petrol,875,86,122
FIAT,Manual,Petrol,875,86,133
FIAT,Manual,Petrol,1242,69,148
FIAT,Manual,Petrol,1242,69,137
FIAT,Automatic,Petrol,1242,69,134
FIAT,Automatic,Petrol,1242,69,145
FIAT,Manual,Petrol,875,86,122
FIAT,Manual,Petrol,875,86,133
FIAT,Manual,Petrol,1242,69,137
FIAT,Manual,Petrol,1242,69,148
FIAT,Manual,Petrol,875,86,133
FIAT,Manual,Petrol,875,86,122
FIAT,Manual,Petrol,1242,69,148
FIAT,Manual,Petrol,1242,69,140
FIAT,Automatic,Petrol,1242,69,134
FIAT,Automatic,Petrol,1242,69,145
FIAT,Automatic,Petrol,1242,69,134
FIAT,Automatic,Petrol,1242,69,145
FIAT,Manual,Petrol,875,86,133
FIAT,Manual,Petrol,875,86,122
FIAT,Manual,Petrol,1242,69,139
FIAT,Manual,Petrol,1242,69,129
FIAT,Automatic,Petrol,1242,69,145
FIAT,Automatic,Petrol,1242,69,134
FIAT,Manual,Petrol,1368,95,155
FIAT,Manual,Petrol,1368,95,185
FIAT,Manual,Petrol,1368,95,185
FIAT,Manual,Petrol,1368,95,155
FIAT,Manual,Petrol,1368,95,166
FIAT,Manual,Petrol,1368,95,180
FIAT,Manual,Petrol,1368,95,185
FIAT,Manual,Petrol,1368,95,155
FIAT,Manual,Petrol,1368,95,166
FIAT,Manual,Petrol,1368,95,180
